Generation,ACG
566,13.456264775413711
567,13.67237163814181
568,13.609699769053117
569,15.325
570,13.464467005076141
571,13.30317848410758
572,13.626760563380282
573,14.424691358024692
574,13.006802721088436
575,13.781609195402298
576,13.028205128205128
577,12.990697674418605
578,12.972665148063781
579,12.484107579462103
580,12.032183908045978
581,13.137767220902612
582,14.020642201834862
583,14.012165450121655
584,12.35421686746988
585,13.915
586,13.493887530562347
587,14.070528967254408
588,13.20785219399538
589,14.346938775510203
590,14.467120181405896
591,15.746867167919799
592,15.338501291989663
593,13.924657534246576
594,15.065491183879093
595,14.848484848484848
596,15.077981651376147
597,15.78688524590164
598,16.692307692307693
599,16.09655172413793
600,14.560090702947846
601,16.04830917874396
602,15.803617571059432
603,14.789473684210526
604,14.878859857482185
605,15.017114914425427
606,15.396419437340153
607,14.145631067961165
608,13.004566210045661
609,17.143187066974598
610,15.467120181405896
611,16.358139534883723
612,15.122302158273381
613,13.31367924528302
614,13.774580335731414
615,14.375
616,12.483720930232558
617,14.567198177676538
618,14.81367924528302
619,15.14123006833713
620,13.743119266055047
621,13.341981132075471
622,14.016166281755197
623,14.306413301662708
624,15.176328502415458
625,16.045112781954888
626,14.70748299319728
627,14.69634703196347
628,13.800531914893616
629,13.696969696969697
630,13.842465753424657
631,16.02657004830918
632,15.450121654501217
633,13.924311926605505
634,13.26896551724138
635,14.819371727748692
636,13.471849865951743
637,13.629976580796253
638,14.669926650366747
639,13.511467889908257
640,13.419134396355354
641,13.555831265508685
642,13.214285714285714
643,13.282973621103118
644,15.301149425287356
645,15.151162790697674
646,17.571084337349397
647,15.85813953488372
648,12.9151376146789
649,14.05955334987593
650,13.519138755980862
651,14.891752577319588
652,15.262295081967213
653,15.328605200945626
654,13.876712328767123
655,14.423772609819121
656,13.0153452685422
657,12.337962962962964
658,12.976851851851851
659,13.681603773584905
660,14.004618937644342
661,13.41108545034642
662,12.848837209302326
663,14.894871794871795
664,15.07311320754717
665,14.720812182741117
666,14.707259953161593
667,13.888382687927107
668,14.737704918032787
669,15.580865603644646
670,16.7468671679198
671,15.429280397022332
672,14.465060240963856
673,14.22695035460993
674,15.1725768321513
675,16.74937343358396
676,14.914351851851851
677,15.356973995271868
678,14.131313131313131
679,13.537349397590361
680,11.468586387434556
681,11.947802197802197
682,11.829787234042554
683,13.353092783505154
684,12.602771362586605
685,13.29611650485437
686,13.296103896103896
687,12.599088838268793
688,13.300236406619385
689,14.945330296127562
690,14.331002331002331
691,13.876456876456876
692,13.314087759815243
693,13.428246013667426
694,14.95933014354067
695,14.30295566502463
696,13.3743961352657
697,12.65137614678899
698,14.277909738717339
699,15.085510688836104
700,14.809859154929578
701,15.529680365296803
702,15.01834862385321
703,16.03045685279188
